#time deltaF
0 0
10000 22.3208
20000 22.4857
30000 21.183
40000 16.8238
50000 15.6931
60000 14.9764
70000 14.4802
80000 14.205
90000 13.6607
100000 13.0887
110000 12.7334
120000 12.4661
130000 12.2887
140000 12.0019
150000 11.7054
160000 11.4644
170000 11.3035
180000 11.1478
190000 10.9604
200000 10.812
210000 10.6414
220000 10.4655
230000 10.2876
240000 10.1247
250000 9.99846
260000 9.83729
270000 9.72776
280000 9.70092
290000 9.70363
300000 9.72246
310000 9.74164
320000 9.74352
330000 9.74202
340000 9.73879
350000 9.74736
360000 9.74622
370000 9.72441
380000 9.68709
390000 9.64097
400000 9.58195
410000 9.51658
420000 9.45549
430000 9.394
440000 9.3372
450000 9.29889
460000 9.26344
470000 9.25291
480000 9.27582
490000 9.30441
500000 9.3257
510000 9.36606
520000 9.39498
530000 9.36744
540000 9.34242
550000 9.33722
560000 9.3341
570000 9.33301
580000 9.33645
590000 9.33447
600000 9.33538
610000 9.33592
620000 9.32917
630000 9.31715
640000 9.30875
650000 9.32022
660000 9.3331
670000 9.34994
680000 9.37594
690000 9.3996
700000 9.42401
710000 9.45659
720000 9.47806
730000 9.47842
740000 9.46858
750000 9.44546
760000 9.42291
770000 9.41961
780000 9.41934
790000 9.4192
800000 9.4194
810000 9.4197
820000 9.4197
830000 9.41054
840000 9.40331
850000 9.39272
860000 9.37276
870000 9.345
880000 9.31638
890000 9.29667
900000 9.27986
910000 9.27187
920000 9.25944
930000 9.24147
940000 9.2242
950000 9.21761
960000 9.21718
970000 9.22715
980000 9.23642
990000 9.24224
1000000 9.24338
1010000 9.24338
1020000 9.24506
1030000 9.25145
1040000 9.26558
1050000 9.2771
1060000 9.28529
1070000 9.29433
1080000 9.30169
1090000 9.31065
1100000 9.31894
1110000 9.32974
1120000 9.34654
1130000 9.36256
1140000 9.3773
1150000 9.38668
1160000 9.3933
1170000 9.40091
1180000 9.40175
1190000 9.3948
1200000 9.39061
1210000 9.37974
1220000 9.37255
1230000 9.36562
1240000 9.35845
1250000 9.35262
1260000 9.34401
1270000 9.33134
1280000 9.31929
1290000 9.30632
1300000 9.28765
1310000 9.28055
1320000 9.27519
1330000 9.27614
1340000 9.2825
1350000 9.28904
1360000 9.29948
1370000 9.31315
1380000 9.33203
1390000 9.35166
1400000 9.37225
1410000 9.39405
1420000 9.41237
1430000 9.43005
1440000 9.44286
1450000 9.45506
1460000 9.46358
1470000 9.4733
1480000 9.47987
1490000 9.48573
1500000 9.48185
1510000 9.47758
1520000 9.47294
1530000 9.46758
1540000 9.46711
1550000 9.46513
1560000 9.45796
1570000 9.44361
1580000 9.42871
1590000 9.41369
1600000 9.39805
1610000 9.38321
1620000 9.37456
1630000 9.36186
1640000 9.34947
1650000 9.34388
1660000 9.33815
1670000 9.32975
1680000 9.31936
1690000 9.31644
1700000 9.31419
1710000 9.31231
1720000 9.30827
1730000 9.30348
1740000 9.30198
1750000 9.3007
1760000 9.29959
1770000 9.29964
1780000 9.30055
1790000 9.30475
1800000 9.30989
1810000 9.31449
1820000 9.31476
1830000 9.31183
1840000 9.30428
1850000 9.29102
1860000 9.27407
1870000 9.25859
1880000 9.24267
1890000 9.22871
1900000 9.22148
1910000 9.2146
1920000 9.20865
1930000 9.20878
1940000 9.21316
1950000 9.21798
1960000 9.21882
1970000 9.22279
1980000 9.22761
1990000 9.22815
2000000 9.2252
