#time deltaF
0 0
10000 6.10028
20000 7.96743
30000 9.24247
40000 10.23
50000 11.0357
60000 11.7118
70000 12.2126
80000 12.4534
90000 12.5191
100000 12.4969
110000 12.4151
120000 12.3138
130000 12.2068
140000 12.0419
150000 11.8703
160000 11.7134
170000 11.5889
180000 11.4628
190000 11.3158
200000 11.1803
210000 11.0765
220000 10.9798
230000 10.893
240000 10.8247
250000 10.7714
260000 10.7253
270000 10.6831
280000 10.6435
290000 10.5988
300000 10.5482
310000 10.4957
320000 10.4536
330000 10.4316
340000 10.4177
350000 10.4019
360000 10.3793
370000 10.364
380000 10.3736
390000 10.4014
400000 10.4273
410000 10.4483
420000 10.4493
430000 10.4362
440000 10.4098
450000 10.3754
460000 10.3252
470000 10.2754
480000 10.2351
490000 10.2051
500000 10.1806
510000 10.1621
520000 10.1556
530000 10.154
540000 10.1596
550000 10.1634
560000 10.1624
570000 10.1504
580000 10.132
590000 10.1135
600000 10.0904
610000 10.0652
620000 10.0425
630000 10.0226
640000 10.0007
650000 9.98129
660000 9.96406
670000 9.94848
680000 9.93383
690000 9.91973
700000 9.90125
710000 9.8754
720000 9.84643
730000 9.81641
740000 9.78941
750000 9.76547
760000 9.74315
770000 9.72174
780000 9.70308
790000 9.6917
800000 9.68506
810000 9.68099
820000 9.67757
830000 9.6702
840000 9.65665
850000 9.63679
860000 9.6137
870000 9.58927
880000 9.56441
890000 9.53954
900000 9.51509
910000 9.49407
920000 9.48049
930000 9.47279
940000 9.46995
950000 9.47021
960000 9.47417
970000 9.47576
980000 9.46692
990000 9.45323
1000000 9.43882
1010000 9.42653
1020000 9.41843
1030000 9.41176
1040000 9.40993
1050000 9.40985
1060000 9.4044
1070000 9.39491
1080000 9.38784
1090000 9.38366
1100000 9.38115
1110000 9.38135
1120000 9.38491
1130000 9.38887
1140000 9.39105
1150000 9.39335
1160000 9.39688
1170000 9.40051
1180000 9.40605
1190000 9.41152
1200000 9.41777
1210000 9.42483
1220000 9.4324
1230000 9.44024
1240000 9.44825
1250000 9.45632
1260000 9.46449
1270000 9.47533
1280000 9.48873
1290000 9.50323
1300000 9.52281
1310000 9.54549
1320000 9.57256
1330000 9.59884
1340000 9.62331
1350000 9.6463
1360000 9.66814
1370000 9.68925
1380000 9.70979
1390000 9.72988
1400000 9.74961
1410000 9.769
1420000 9.78811
1430000 9.80697
1440000 9.82561
1450000 9.84405
1460000 9.86229
1470000 9.88036
1480000 9.89824
1490000 9.91251
1500000 9.92273
1510000 9.9314
1520000 9.93706
1530000 9.9399
1540000 9.94118
1550000 9.94129
1560000 9.93918
1570000 9.93638
1580000 9.93489
1590000 9.93761
1600000 9.94388
1610000 9.95273
1620000 9.96341
1630000 9.97329
1640000 9.97816
1650000 9.97837
1660000 9.97619
1670000 9.97261
1680000 9.96959
1690000 9.96911
1700000 9.96913
1710000 9.97178
1720000 9.97637
1730000 9.98114
1740000 9.98601
1750000 9.99095
1760000 9.99534
1770000 9.9979
1780000 9.99863
1790000 9.99783
1800000 9.99802
1810000 9.9995
1820000 10.001
1830000 10.0035
1840000 10.0059
1850000 10.0072
1860000 10.0076
1870000 10.0062
1880000 10.0026
1890000 9.99752
1900000 9.99137
1910000 9.98422
1920000 9.97739
1930000 9.97038
1940000 9.96287
1950000 9.9561
1960000 9.95006
1970000 9.9445
1980000 9.93909
1990000 9.93328
2000000 9.92705
