#from: ~/storage/scratch/ves_deltaF/model/metad/bck.0.fes_running/fes_running.t-128000.data and fes_running.t-177000.data
# cv_bin  fes  bias	# cv_bin  fes  bias
   1.545454545    5.905162870   -5.314646583	   1.545454545    2.264803846   -2.038323462
   1.606060606    5.640827158   -5.076744442	   1.606060606    1.980116810   -1.782105129
   1.666666667    5.464543085   -4.918088776	   1.666666667    1.777817662   -1.600035896
   1.727272727    5.390942059   -4.851847853	   1.727272727    1.676099566   -1.508489610
   1.787878788    5.430996083   -4.887896475	   1.787878788    1.690487102   -1.521438392
   1.848484848    5.590759442   -5.031683498	   1.848484848    1.831944411   -1.648749970
   1.909090909    5.870873082   -5.283785774	   1.909090909    2.105535016   -1.894981514
   1.969696970    6.267108633   -5.640397770	   1.969696970    2.510026699   -2.259024029
   2.030303030    6.772101758   -6.094891582	   2.030303030    3.038757433   -2.734881690
   2.090909091    7.378249880   -6.640424892	   2.090909091    3.681931286   -3.313738158
   2.151515152    8.081529006   -7.273376105	   2.151515152    4.430285805   -3.987257224
   2.212121212    8.885733312   -7.997159981	   2.212121212    5.279771628   -4.751794465
   2.272727273    9.806398946   -8.825759052	   2.272727273    6.236550655   -5.612895589
   2.333333333   10.873505614   -9.786155053	   2.333333333    7.321326763   -6.589194087
   2.393939394   12.132033431  -10.918830088	   2.393939394    8.571871318   -7.714684186
   2.454545455   13.639650794  -12.275685714	   2.454545455   10.042686588   -9.038417929
   2.515151515   15.461238586  -13.915114727	   2.515151515   11.801113058  -10.621001752
   2.575757576   17.660566590  -15.894509931	   2.575757576   13.919808445  -12.527827600
   2.636363636   20.290110543  -18.261099489	   2.636363636   16.466301086  -14.819670977
   2.696969697   23.380569136  -21.042512222	   2.696969697   19.491075955  -17.541968359
   2.757575758   26.931944497  -24.238750047	   2.757575758   23.016190570  -20.714571513
   2.818181818   30.907972812  -27.817175531	   2.818181818   27.026574315  -24.323916884
   2.878787879   35.235210001  -31.711689001	   2.878787879   31.465855763  -28.319270187
   2.939393939   39.807274112  -35.826546701	   2.939393939   36.237822309  -32.614040078
   3.000000000   44.493794677  -40.044415209	   3.000000000   41.213594081  -37.092234673
