#from ~/storage/scratch/ves_deltaF/model/ves-new
#! FIELDS p.x file.free der_p.x	#! FIELDS p.x file.free der_p.x
#! SET min_p.x -3	#! SET min_p.x -3
#! SET max_p.x 3	#! SET max_p.x 3
#! SET nbins_p.x  301	#! SET nbins_p.x  301
#! SET periodic_p.x false	#! SET periodic_p.x false
-1.200000000 5.19744 10.8787	-1.200000000 13.8276 -2.05777
-1.180000000 5.41671 10.9208	-1.180000000 13.7846 -2.2134
-1.160000000 5.63629 10.9522	-1.160000000 13.7387 -2.37157
-1.140000000 5.85691 10.9627	-1.140000000 13.6891 -2.54009
-1.120000000 6.07597 10.9583	-1.120000000 13.6359 -2.71642
-1.100000000 6.29573 10.9442	-1.100000000 13.5795 -2.89322
-1.080000000 6.51461 10.9097	-1.080000000 13.5199 -3.07146
-1.060000000 6.73363 10.8601	-1.060000000 13.4567 -3.25287
-1.040000000 6.95105 10.7953	-1.040000000 13.3898 -3.43682
-1.020000000 7.16642 10.7147	-1.020000000 13.3181 -3.63323
-1.000000000 7.38008 10.6237	-1.000000000 13.2427 -3.83095
-0.980000000 7.59275 10.519	-0.980000000 13.1637 -4.02722
-0.960000000 7.80231 10.4083	-0.960000000 13.0807 -4.22511
-0.940000000 8.01034 10.2901	-0.940000000 12.994 -4.42139
-0.920000000 8.21572 10.1657	-0.920000000 12.9036 -4.61421
-0.900000000 8.41991 10.0196	-0.900000000 12.8089 -4.8104
-0.880000000 8.61946 9.87483	-0.880000000 12.7104 -5.00418
-0.860000000 8.81701 9.72471	-0.860000000 12.6085 -5.19117
-0.840000000 9.01142 9.57087	-0.840000000 12.5028 -5.37408
-0.820000000 9.20394 9.40013	-0.820000000 12.3935 -5.552
-0.800000000 9.39089 9.2377	-0.800000000 12.2808 -5.72401
-0.780000000 9.57465 9.07992	-0.780000000 12.1646 -5.88914
-0.760000000 9.75562 8.91266	-0.760000000 12.0452 -6.04642
-0.740000000 9.93141 8.73426	-0.740000000 11.9228 -6.19485
-0.720000000 10.1054 8.5467	-0.720000000 11.7966 -6.34275
-0.700000000 10.2758 8.36214	-0.700000000 11.6682 -6.47478
-0.680000000 10.4416 8.16628	-0.680000000 11.5372 -6.59618
-0.660000000 10.6037 7.97874	-0.660000000 11.4042 -6.70271
-0.640000000 10.7621 7.7841	-0.640000000 11.2692 -6.79586
-0.620000000 10.9163 7.58843	-0.620000000 11.1324 -6.87469
-0.600000000 11.0666 7.38862	-0.600000000 10.9943 -6.93829
-0.580000000 11.2129 7.16422	-0.580000000 10.8545 -6.99101
-0.560000000 11.3549 6.94411	-0.560000000 10.7143 -7.02265
-0.540000000 11.492 6.72815	-0.540000000 10.5737 -7.03678
-0.520000000 11.6252 6.51196	-0.520000000 10.4326 -7.03666
-0.500000000 11.7538 6.29608	-0.500000000 10.291 -7.02541
-0.480000000 11.8779 6.08172	-0.480000000 10.1508 -6.98645
-0.460000000 11.9989 5.85522	-0.460000000 10.0117 -6.92835
-0.440000000 12.1144 5.64194	-0.440000000 9.87366 -6.85271
-0.420000000 12.2258 5.41602	-0.420000000 9.73716 -6.76006
-0.400000000 12.3325 5.21117	-0.400000000 9.60235 -6.65219
-0.380000000 12.4353 5.00921	-0.380000000 9.47019 -6.52368
-0.360000000 12.5344 4.81227	-0.360000000 9.34064 -6.37874
-0.340000000 12.63 4.61994	-0.340000000 9.21383 -6.2203
-0.320000000 12.7215 4.44223	-0.320000000 9.09122 -6.03751
-0.300000000 12.8092 4.28037	-0.300000000 8.97119 -5.85132
-0.280000000 12.8944 4.12337	-0.280000000 8.85516 -5.65089
-0.260000000 12.9767 3.98173	-0.260000000 8.74435 -5.42781
-0.240000000 13.0565 3.85264	-0.240000000 8.63813 -5.19253
-0.220000000 13.1335 3.74434	-0.220000000 8.5361 -4.95269
-0.200000000 13.208 3.65755	-0.200000000 8.43958 -4.69842
-0.180000000 13.2809 3.58844	-0.180000000 8.34807 -4.43794
-0.160000000 13.3532 3.52875	-0.160000000 8.26198 -4.17019
-0.140000000 13.4238 3.49429	-0.140000000 8.18129 -3.89806
-0.120000000 13.4952 3.46282	-0.120000000 8.10555 -3.62864
-0.100000000 13.5651 3.46187	-0.100000000 8.03535 -3.35775
-0.080000000 13.6352 3.47619	-0.080000000 7.97054 -3.08888
-0.060000000 13.7055 3.50948	-0.060000000 7.911 -2.82435
-0.040000000 13.7767 3.55681	-0.040000000 7.8567 -2.56559
-0.020000000 13.8493 3.61455	-0.020000000 7.80734 -2.31601
0.000000000 13.9228 3.69038	0.000000000 7.7635 -2.07
0.020000000 13.9991 3.76811	0.020000000 7.72333 -1.84614
0.040000000 14.0762 3.86659	0.040000000 7.68864 -1.6251
0.060000000 14.1561 3.96941	0.060000000 7.65792 -1.42141
0.080000000 14.2372 4.09326	0.080000000 7.63112 -1.23373
0.100000000 14.3216 4.2159	0.100000000 7.60676 -1.07545
0.120000000 14.4076 4.35695	0.120000000 7.5866 -0.926015
0.140000000 14.4965 4.50382	0.140000000 7.56921 -0.79715
0.160000000 14.5883 4.65482	0.160000000 7.55418 -0.690046
0.180000000 14.6833 4.80911	0.180000000 7.54049 -0.611527
0.200000000 14.7814 4.96771	0.200000000 7.52829 -0.555854
0.220000000 14.8829 5.12615	0.220000000 7.51703 -0.52442
0.240000000 14.9877 5.28527	0.240000000 7.50636 -0.516106
0.260000000 15.0959 5.44482	0.260000000 7.49552 -0.533836
0.280000000 15.2068 5.61213	0.280000000 7.48311 -0.586741
0.300000000 15.3211 5.77864	0.300000000 7.47062 -0.653938
0.320000000 15.4385 5.94641	0.320000000 7.45661 -0.744585
0.340000000 15.5596 6.11034	0.340000000 7.44046 -0.859622
0.360000000 15.6847 6.26618	0.360000000 7.42139 -1.00098
0.380000000 15.8118 6.43304	0.380000000 7.39948 -1.16194
0.400000000 15.9424 6.59542	0.400000000 7.3745 -1.33929
0.420000000 16.0773 6.74422	0.420000000 7.34552 -1.5368
0.440000000 16.2143 6.8996	0.440000000 7.31223 -1.75219
0.460000000 16.354 7.05411	0.460000000 7.27379 -2.00063
0.480000000 16.4973 7.19878	0.480000000 7.2302 -2.25079
0.500000000 16.6429 7.34255	0.500000000 7.18226 -2.50452
0.520000000 16.7915 7.47807	0.520000000 7.12908 -2.76647
0.540000000 16.9428 7.60521	0.540000000 7.07042 -3.03526
0.560000000 17.0976 7.71419	0.560000000 7.00694 -3.30102
0.580000000 17.2534 7.82572	0.580000000 6.93668 -3.58081
0.600000000 17.4116 7.92445	0.600000000 6.86223 -3.84585
0.620000000 17.5714 8.01451	0.620000000 6.78133 -4.11783
0.640000000 17.7328 8.09175	0.640000000 6.69582 -4.3766
0.660000000 17.8963 8.14811	0.660000000 6.60669 -4.63824
0.680000000 18.0603 8.19615	0.680000000 6.51131 -4.8722
0.700000000 18.2247 8.23349	0.700000000 6.41068 -5.10101
0.720000000 18.3896 8.25358	0.720000000 6.30657 -5.30771
0.740000000 18.5554 8.24884	0.740000000 6.1987 -5.5085
0.760000000 18.7206 8.23041	0.760000000 6.08599 -5.69141
0.780000000 18.8849 8.19733	0.780000000 5.96933 -5.86388
0.800000000 19.0483 8.1451	0.800000000 5.85021 -6.01358
0.820000000 19.2115 8.06395	0.820000000 5.72799 -6.15022
0.840000000 19.3724 7.97086	0.840000000 5.60249 -6.27899
0.860000000 19.5307 7.86375	0.860000000 5.47524 -6.38788
0.880000000 19.6875 7.73049	0.880000000 5.34565 -6.48641
0.900000000 19.8407 7.58794	0.900000000 5.21427 -6.5726
0.920000000 19.991 7.42707	0.920000000 5.08158 -6.64528
0.940000000 20.1379 7.2498	0.940000000 4.94755 -6.70791
0.960000000 20.2815 7.05329	0.960000000 4.81341 -6.77339
0.980000000 20.4207 6.84759	0.980000000 4.67742 -6.81983
1.000000000 20.5567 6.61819	1.000000000 4.54068 -6.85346
1.020000000 20.6868 6.39144	1.020000000 4.40393 -6.89634
1.040000000 20.8122 6.15446	1.040000000 4.26602 -6.93302
1.060000000 20.9333 5.90446	1.060000000 4.12701 -6.95492
1.080000000 21.0489 5.65273	1.080000000 3.98735 -6.97787
1.100000000 21.1594 5.39563	1.100000000 3.84805 -7.00148
1.120000000 21.2656 5.12581	1.120000000 3.70872 -7.03379
1.140000000 21.3655 4.86453	1.140000000 3.56767 -7.0523
1.160000000 21.4616 4.58807	1.160000000 3.42635 -7.07582
1.180000000 21.551 4.32642	1.180000000 3.28534 -7.10025
1.200000000 21.6357 4.06356	1.200000000 3.14317 -7.11639
1.220000000 21.7144 3.8118	1.220000000 3.00069 -7.13174
1.240000000 21.7891 3.55524	1.240000000 2.85792 -7.14529
1.260000000 21.858 3.31294	1.260000000 2.7149 -7.1558
1.280000000 21.9222 3.07687	1.280000000 2.57171 -7.1618
1.300000000 21.9821 2.84461	1.300000000 2.42847 -7.16164
1.320000000 22.0368 2.62846	1.320000000 2.28564 -7.15689
1.340000000 22.0873 2.42099	1.340000000 2.14267 -7.13807
1.360000000 22.1337 2.2228	1.360000000 2.00075 -7.11279
1.380000000 22.177 2.02632	1.380000000 1.85982 -7.07541
1.400000000 22.2158 1.84933	1.400000000 1.71921 -7.01374
1.420000000 22.2515 1.67778	1.420000000 1.57974 -6.92972
1.440000000 22.2835 1.52183	1.440000000 1.44216 -6.8243
1.460000000 22.3128 1.37273	1.460000000 1.30693 -6.69488
