#time   deltaF   REWdeltaF
114500  62.6421  60.4539
115000  62.5665  60.4618
115500  62.4464  60.4654
116000  62.3319  60.468
116500  62.2106  60.4739
117000  62.051   60.4764
117500  62.1759  60.4913
118000  62.4662  60.5111
118500  62.7432  60.5305
119000  63.0034  60.5493
119500  63.2778  60.5693
120000  63.5666  60.5914
120500  63.8887  60.6142
121000  64.1819  60.6379
121500  64.4692  60.6558
122000  64.7557  60.6782
122500  65.0581  60.7037
123000  65.0839  60.715
123500  64.9286  60.7229
124000  64.7794  60.73
124500  64.6044  60.7381
125000  64.0599  60.7327
125500  63.4743  60.7245
126000  62.9779  60.7202
126500  62.6374  60.7137
127000  62.1252  60.698
127500  61.7825  60.6791
128000  61.6733  60.6814
128500  61.5715  60.6773
129000  61.4703  60.671
129500  61.3247  60.6633
130000  61.2652  60.6682
130500  61.1977  60.6709
131000  61.113   60.6677
131500  60.9714  60.6545
132000  60.909   60.6499
132500  60.7709  60.6438
133000  60.7094  60.6425
133500  60.607   60.6361
134000  60.5557  60.6347
134500  60.4477  60.6205
135000  60.2596  60.6093
135500  60.3788  60.6176
136000  60.3414  60.6177
136500  60.2864  60.6158
137000  60.0597  60.591
137500  59.6671  60.5594
138000  59.2957  60.5145
138500  58.9916  60.4783
139000  58.9182  60.4654
139500  58.7466  60.434
140000  58.6208  60.3936
140500  58.5533  60.3755
141000  58.4556  60.3514
141500  58.3937  60.3313
142000  58.2626  60.3021
142500  58.1798  60.2769
143000  58.1442  60.2612
143500  58.0618  60.2362
144000  58.0144  60.2121
144500  57.9267  60.1792
145000  57.8922  60.1557
145500  57.8178  60.1266
146000  57.79    60.1053
146500  57.7315  60.0863
147000  57.6748  60.0461
147500  57.6021  60.0027
148000  57.5231  59.9778
148500  57.4697  59.9349
149000  57.6068  59.9379
149500  57.8228  59.9508
150000  58.0763  59.9679
150500  58.2953  59.9814
151000  58.5347  59.9963
151500  58.7893  60.0131
152000  59.0164  60.0276
152500  59.2742  60.0453
153000  59.5106  60.0634
153500  59.7378  60.0794
154000  59.9761  60.0941
154500  60.2066  60.1108
155000  60.4317  60.1259
155500  60.6653  60.1407
156000  60.8878  60.1555
156500  61.1156  60.1712
157000  61.3603  60.1882
157500  61.599   60.2059
158000  61.8238  60.2187
158500  62.0418  60.2332
159000  62.2504  60.2472
159500  62.1859  60.2516
160000  62.1083  60.256
160500  62.0402  60.2594
161000  61.8778  60.2581
161500  61.8115  60.2616
162000  62.0037  60.2757
162500  62.2249  60.2924
163000  62.475   60.3086
163500  62.6823  60.3218
164000  62.9046  60.3353
164500  63.133   60.3474
165000  63.3224  60.3604
165500  63.5381  60.3742
166000  63.7527  60.3887
166500  63.7909  60.3966
167000  63.7597  60.4027
167500  63.6577  60.4084
168000  63.746   60.4175
168500  63.957   60.4297
169000  63.9488  60.4367
169500  63.8438  60.4433
170000  63.7104  60.4453
170500  63.6298  60.4476
171000  63.4593  60.4512
171500  63.0948  60.4439
172000  62.7269  60.4359
172500  62.2905  60.4251
173000  61.9376  60.4198
173500  61.5911  60.4104
174000  61.1914  60.3939
174500  60.8622  60.3731
175000  60.5305  60.3537
175500  60.4775  60.3495
176000  60.4162  60.3456
176500  60.3412  60.3428
177000  60.3312  60.3427
177500  60.2408  60.3333
178000  60.2039  60.3301
178500  60.1289  60.321
179000  60.0221  60.3131
179500  59.6684  60.2825
180000  59.3061  60.2481
180500  59.0109  60.2238
181000  58.6833  60.1798
181500  58.383   60.1532
182000  58.1039  60.1107
182500  58.0534  60.0918
183000  58       60.0748
183500  57.9329  60.0544
184000  57.8867  60.0399
184500  57.7971  60.0175
185000  57.7229  60.0025
185500  57.6963  59.9911
186000  57.6547  59.9746
186500  57.6113  59.9623
187000  57.5528  59.9475
187500  57.4711  59.9246
188000  57.4111  59.9024
188500  57.3493  59.8799
189000  57.2687  59.8472
189500  57.1704  59.8181
190000  57.1375  59.8013
190500  57.0964  59.7829
191000  57.0465  59.756
191500  57.0636  59.7433
192000  57.1639  59.743
192500  57.1216  59.728
193000  57.041   59.7144
193500  57.0494  59.7044
194000  57.233   59.7161
194500  57.4031  59.7254
195000  57.5986  59.7401
195500  57.7877  59.7515
196000  57.9802  59.7663
196500  58.1516  59.7775
197000  58.3408  59.7876
197500  58.5223  59.7983
198000  58.6971  59.8095
198500  58.8917  59.8226
199000  59.0803  59.8342
199500  59.263   59.8452
200000  59.4432  59.857
