#! FIELDS time p.x p.y metad.bias metad.rct metad.maxbias metad.instwork ene
 0.000000 -2.203 0.965 0 0 0 0 2.9277
 2.500000 -2.15885 1.05014 0 0.265962 1.19999 0 3.52643
 5.000000 -1.9571 0.74074 1.01632 0.690217 2.17961 350.889 0.130275
 7.500000 -1.92613 0.785499 2.02968 1.25429 3.08777 459.237 0.0285168
 10.000000 -2.04224 0.693218 3.08227 1.90525 3.93807 412.081 0.644996
 12.500000 -2.10158 0.77396 3.85285 2.5721 4.70542 186.801 0.883209
 15.000000 -1.41233 0.882363 1.04985 2.87805 4.93952 202.882 2.71897
 17.500000 -1.75856 0.900871 4.14253 3.47319 5.55136 440.02 0.481967
 20.000000 -1.75486 0.824276 4.87897 4.05443 6.1455 364.95 0.256142
 22.500000 -1.99461 0.834478 6.09353 4.63228 6.74786 262.205 0.286404
 25.000000 -2.03099 0.598757 6.60533 5.17991 7.31011 267.212 1.16784
 27.500000 -1.5389 1.20956 4.48675 5.59489 7.6843 114.566 4.66894
 30.000000 -1.08876 0.444159 1.43557 5.68743 7.74527 270.575 7.98945
 32.500000 -1.90377 0.785342 7.74078 6.1825 8.25247 243.956 0.00252127
 35.000000 -1.61237 0.84588 6.61771 6.61055 8.65632 221.272 1.02495
 37.500000 -1.43017 0.554813 5.4843 6.93633 8.93683 225.427 3.41118
 40.000000 -1.28005 0.900679 4.72429 7.16722 9.11519 275.392 4.0662
 42.500000 -2.16737 0.817754 7.12635 7.53746 9.48828 70.1554 1.56595
 45.000000 -1.31659 0.689046 5.79724 7.77494 9.67367 183.444 3.94204
 47.500000 -2.40203 0.976418 4.48905 8.01818 9.90036 92.5507 6.80214
 50.000000 -1.5962 0.937231 8.75761 8.37035 10.2347 79.196 1.43933
 52.500000 -2.00955 1.01882 9.7999 8.72872 10.604 130.842 1.75666
 55.000000 -1.48292 1.03336 8.45956 9.02078 10.8659 155.682 2.83104
 57.500000 -1.98451 0.642561 10.5055 9.35908 11.2163 128.779 0.614237
 60.000000 -2.35634 0.936067 6.37451 9.59806 11.4415 141.095 5.30259
 62.500000 -2.29577 0.569831 7.90311 9.86105 11.6975 281.925 4.84797
 65.000000 -0.968458 0.939527 3.3398 9.89956 11.7215 81.3525 7.47912
 67.500000 -1.87506 0.924909 11.7118 10.2176 12.0473 254.819 0.455869
 70.000000 -1.65689 0.521123 11.0589 10.5096 12.3289 140.804 1.87478
 72.500000 -2.26409 0.76979 9.12569 10.7605 12.5766 87.7158 2.89746
 75.000000 -1.37009 0.763927 8.73342 10.9423 12.7246 56.9226 3.15483
 77.500000 -1.14128 0.881659 6.51394 11.0346 12.7873 178.075 5.5685
 80.000000 -0.930131 0.711242 4.52316 11.0683 12.8056 243.105 8.48513
 82.500000 -0.809363 1.12047 3.8718 11.0814 12.8129 332.191 9.21398
 85.000000 -0.987034 0.997159 6.60734 11.1298 12.8381 277.749 7.30317
 87.500000 -0.56063 0.945493 2.50239 11.1237 12.8381 185.471 11.6149
 90.000000 -1.47019 0.90858 11.2102 11.3428 13.0251 243.412 2.26238
 92.500000 -1.70772 0.776959 12.7547 11.6087 13.2959 102.477 0.429615
 95.000000 -1.26058 0.769778 10.2629 11.751 13.3968 117.274 4.34148
 97.500000 -2.08086 0.973237 12.1655 11.975 13.6384 36.314 1.70565
 100.000000 -2.42263 0.741061 7.16025 12.1203 13.7802 139.691 6.33527
 102.500000 -2.24603 0.80345 10.7401 12.3146 13.9837 199.746 2.60308
 105.000000 -1.62908 1.05689 13.1834 12.5427 14.2014 70.5679 2.19615
 107.500000 -1.39503 0.939718 11.9253 12.7074 14.3334 104.928 3.0274
 110.000000 -2.0879 0.768548 13.2377 12.9145 14.5564 50.6173 0.774595
 112.500000 -2.5044 0.863288 6.67231 13.032 14.6679 129.178 8.67364
 115.000000 -1.06687 0.728982 9.186 13.0876 14.6969 44.3353 6.75271
 117.500000 0.155249 1.23795 0.144465 13.0764 14.6969 70.3093 15.0748
 120.000000 -0.164607 1.36811 1.63295 13.0652 14.6969 247.678 13.4899
 122.500000 0.258643 -0.150007 1.68241 13.0548 14.6969 253.246 17.9187
 125.000000 1.56754 -0.786195 0 13.0444 14.6969 81.119 3.93917
 127.500000 1.12213 -0.77515 0.607419 13.0338 14.6969 403.88 7.40525
 130.000000 1.88934 -0.929845 0.887865 13.0237 14.6969 107.704 3.7
 132.500000 1.36534 -0.789391 2.26086 13.014 14.6969 412.483 5.24714
 135.000000 1.97309 -0.891372 1.93491 13.0041 14.6969 201.277 3.93643
 137.500000 2.22405 -0.888897 1.69725 12.9943 14.6969 374.242 6.74906
 140.000000 2.08624 -0.837594 3.30371 12.9851 14.6969 407.913 4.74522
 142.500000 1.64621 -0.884642 4.32358 12.976 14.6969 266.772 3.55666
 145.000000 1.79954 -0.711088 5.22101 12.9674 14.6969 270.151 3.59362
 147.500000 1.94334 -1.11051 5.64369 12.959 14.6969 283.648 5.82355
 150.000000 1.24515 -0.725135 3.78919 12.9496 14.6969 230.016 6.52204
 152.500000 1.15288 -1.1165 3.96833 12.9402 14.6969 299.3 7.00818
 155.000000 2.04933 -1.07391 5.86645 12.9319 14.6969 101.652 6.1838
 157.500000 1.59909 -0.880065 7.00951 12.9239 14.6969 131.795 3.71784
 160.000000 0.986102 -1.02192 3.71321 12.9144 14.6969 166.874 7.95619
 162.500000 0.918922 -1.13478 4.01648 12.9052 14.6969 319.498 8.50525
 165.000000 0.744339 -1.14171 3.64464 12.8958 14.6969 303.018 9.53319
