#time   deltaF       REWdeltaF
386000  3.700126579  3.330428738
387000  3.699706579  3.339296367
388000  3.699416579  3.347240020
389000  3.699256579  3.352712943
390000  3.699226579  3.358705846
391000  3.699316579  3.361343930
392000  3.699376579  3.355935411
393000  3.699316579  3.350537990
394000  3.699126579  3.343218552
395000  3.698816579  3.339332760
396000  3.698386579  3.330650246
397000  3.697836579  3.326326940
398000  3.697156579  3.318226032
399000  3.696446579  3.321808135
400000  3.695866579  3.327121577
401000  3.695316579  3.321881589
402000  3.694656579  3.314852647
403000  3.693906579  3.313800900
404000  3.693226579  3.318717838
405000  3.692676580  3.320914490
406000  3.692196580  3.319864458
407000  3.691616580  3.312439237
408000  3.690926580  3.308283919
409000  3.690116580  3.304125077
410000  3.689196580  3.297682352
411000  3.688156580  3.294941883
412000  3.687016580  3.291741830
413000  3.685766580  3.286723499
414000  3.684416581  3.278545982
415000  3.682946581  3.272247089
416000  3.681366581  3.266405340
417000  3.679686581  3.261922397
418000  3.677896581  3.255685556
419000  3.676006582  3.251691757
420000  3.674026582  3.245959421
421000  3.671946582  3.242868104
422000  3.669756582  3.234539171
423000  3.667476583  3.228418905
424000  3.665166583  3.232913688
425000  3.662976583  3.236853314
426000  3.660906584  3.239445721
427000  3.658956584  3.245577220
428000  3.657016584  3.240318495
429000  3.654966584  3.233332988
430000  3.652816585  3.226811332
431000  3.650576585  3.221630289
432000  3.648236585  3.216448860
433000  3.645796585  3.213866059
434000  3.643266586  3.206977791
435000  3.640656586  3.204428532
436000  3.638126586  3.209670965
437000  3.635706587  3.214930882
438000  3.633416587  3.216679131
439000  3.631246587  3.219822801
440000  3.629186588  3.224788926
441000  3.627246588  3.229918762
442000  3.625426588  3.237198198
443000  3.623716588  3.242255657
444000  3.622116588  3.250271450
445000  3.620636589  3.254440397
446000  3.619256589  3.258589149
447000  3.617996589  3.265587873
448000  3.616846589  3.268932335
449000  3.615796589  3.274665099
450000  3.614856589  3.278290584
451000  3.613986589  3.278136075
452000  3.613026590  3.274631552
453000  3.611966590  3.267672519
