#time deltaF
0 0
10000 -1.53073
20000 5.68035
30000 16.8761
40000 10.7835
50000 -5.03179
60000 0.519833
70000 6.04138
80000 10.2345
90000 13.5429
100000 11.116
110000 2.95496
120000 -2.54599
130000 -6.62837
140000 -10.0474
150000 -12.8494
160000 -13.932
170000 -10.0542
180000 -6.95494
190000 -4.23359
200000 -1.77814
210000 0.26937
220000 2.12499
230000 3.71158
240000 5.28716
250000 6.65807
260000 7.9301
270000 9.20745
280000 10.3377
290000 11.3462
300000 12.2814
310000 13.1637
320000 14.0013
330000 14.7056
340000 15.4344
350000 16.0314
360000 16.6201
370000 15.0689
380000 11.991
390000 12.0673
400000 12.7587
410000 13.4368
420000 14.0227
430000 14.605
440000 14.3595
450000 11.8443
460000 9.57459
470000 7.58897
480000 5.81412
490000 4.15832
500000 2.65446
510000 1.28646
520000 0.0311248
530000 -1.16194
540000 -2.25581
550000 -3.27972
560000 -4.27875
570000 -5.20083
580000 -6.06795
590000 -6.89771
600000 -7.70012
610000 -7.14792
620000 -6.29802
630000 -5.4741
640000 -4.67311
650000 -3.91578
660000 -3.17341
670000 -2.44649
680000 -1.79567
690000 -1.16283
700000 -0.54352
710000 0.0476893
720000 0.627194
730000 1.18757
740000 1.70662
750000 2.22738
760000 2.71641
770000 3.20991
780000 3.66522
790000 4.14997
800000 4.59108
810000 5.01697
820000 5.44694
830000 5.84693
840000 6.23704
850000 6.64444
860000 6.90496
870000 6.91822
880000 7.29436
890000 7.64181
900000 7.97623
910000 8.34398
920000 8.68146
930000 9.02415
940000 9.36044
950000 9.67691
960000 9.99757
970000 9.32421
980000 8.35446
990000 7.44037
1000000 6.57474
1010000 5.73622
1020000 4.94538
1030000 4.20509
1040000 3.50022
1050000 2.81444
1060000 2.16049
1070000 1.51705
1080000 0.90244
1090000 0.311347
1100000 -0.255995
1110000 -0.797961
1120000 -0.87621
1130000 -0.485868
1140000 -0.127705
1150000 0.251481
1160000 0.603491
1170000 0.960868
1180000 1.3028
1190000 1.64365
1200000 1.98109
1210000 2.29168
1220000 2.59824
1230000 2.90494
1240000 3.21183
1250000 3.49262
1260000 3.77363
1270000 4.05364
1280000 4.34895
1290000 4.62264
1300000 4.90612
1310000 5.18313
1320000 5.43632
1330000 5.6953
1340000 5.933
1350000 6.18752
1360000 6.43319
1370000 6.67113
1380000 6.91441
1390000 7.15043
1400000 7.17709
1410000 6.5732
1420000 6.42735
1430000 6.65315
1440000 6.87776
1450000 7.09468
1460000 7.31081
1470000 7.5334
1480000 7.73835
1490000 7.94505
1500000 8.14993
1510000 8.35496
1520000 8.55923
1530000 8.76479
1540000 8.9675
1550000 9.16966
1560000 9.34684
1570000 9.5391
1580000 9.72336
1590000 9.91725
1600000 10.0957
1610000 9.72229
1620000 9.1325
1630000 8.56458
1640000 8.00502
1650000 7.46967
1660000 6.95153
1670000 6.44123
1680000 5.96054
1690000 5.47156
1700000 5.00731
1710000 4.9738
1720000 5.17348
1730000 5.38453
1740000 5.58559
1750000 5.79219
1760000 5.97934
1770000 6.17092
1780000 6.3634
1790000 6.55479
1800000 6.7462
1810000 6.93344
1820000 7.12315
1830000 7.30008
1840000 7.48048
1850000 7.64955
1860000 7.81831
1870000 7.97742
1880000 8.14887
1890000 8.30512
1900000 8.46252
1910000 8.63211
1920000 8.74168
1930000 8.26404
1940000 7.79825
1950000 7.35239
1960000 6.91242
1970000 6.49345
1980000 6.08461
1990000 5.67731
2000000 5.27972
